"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"G***";"LOGO";1;"LOGO";;;
2;"RV2";"Potentiometer_Bourns_3296W_Vertical";1;"100k";;;
3;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"500k";;;
4;"D7,D1,D2,D3,D5";"D_DO-35_SOD27_P7.62mm_Horizontal";5;"1N4148";;;
5;"U2";"DIP-14_W10.16mm";1;"TL074";;;
6;"J1";"Multicomp_MC9A12-1034_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
7;"D6";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
8;"D4";"LED_D5.0mm";1;"LED";;;
9;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1 k";;;
10;"C4,C5";"CP_Radial_D5.0mm_P2.50mm";2;"22 µf";;;
11;"Q1,Q2,Q3";"TO-92_Inline_Wide";3;"BC547";;;
12;"EoC_J1,GATE_J2,OUT_J4";"Jack_3.5mm_CUI_SJ1-3533NG_Horizontal";3;"AudioJack3_Ground";;;
13;"Attack1,Decay1";"Potentiometer_Alps_RK097_Single_Horizontal";2;"1 M";;;
14;"C1,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"10 n";;;
15;"C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"4.7 µ";;;
16;"R2,R6,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4.7 k";;;
17;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10 k";;;
18;"R8,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220";;;
19;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22 k";;;
20;"U1";"DIP-8_W7.62mm";1;"ICM7555";;;
